2026-09-18T08:50:46.592784494Z [2026-09-18 08:50:46 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 512, #cached-token: 0, full token usage: 0.00, swa token usage: 0.01, #running-req: 1, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 393.12
2026-09-18T11:08:23.346644027Z [2026-09-18 11:08:23 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.21, swa token usage: 0.10, #running-req: 3, #queue-req: 4, #pending-token: 2166784, cuda graph: False, input throughput (token/s): 1119.90
2026-09-18T11:08:27.133647824Z [2026-09-18 11:08:27 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.21, swa token usage: 0.10, #running-req: 3, #queue-req: 4, #pending-token: 2162688, cuda graph: False, input throughput (token/s): 1081.28
2026-09-18T11:08:31.232802094Z [2026-09-18 11:08:31 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.21, swa token usage: 0.10, #running-req: 3, #queue-req: 4, #pending-token: 2158592, cuda graph: False, input throughput (token/s): 999.55
2026-09-18T11:08:35.613193559Z [2026-09-18 11:08:35 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.21, swa token usage: 0.10, #running-req: 3, #queue-req: 4, #pending-token: 2154496, cuda graph: False, input throughput (token/s): 935.04
2026-09-18T11:08:39.028813437Z [2026-09-18 11:08:39 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.21, swa token usage: 0.10, #running-req: 3, #queue-req: 4, #pending-token: 2150400, cuda graph: False, input throughput (token/s): 1198.89
2026-09-18T11:08:42.648414626Z [2026-09-18 11:08:42 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.21, swa token usage: 0.10, #running-req: 3, #queue-req: 4, #pending-token: 2146304, cuda graph: False, input throughput (token/s): 1131.82
2026-09-18T11:08:47.018367116Z [2026-09-18 11:08:47 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.21, swa token usage: 0.10, #running-req: 3, #queue-req: 4, #pending-token: 2142208, cuda graph: False, input throughput (token/s): 937.19
2026-09-18T11:08:50.750473249Z [2026-09-18 11:08:50 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.21, swa token usage: 0.10, #running-req: 3, #queue-req: 4, #pending-token: 2138112, cuda graph: False, input throughput (token/s): 1097.60
2026-09-18T11:08:54.524988416Z [2026-09-18 11:08:54 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.22, swa token usage: 0.10, #running-req: 3, #queue-req: 4, #pending-token: 2134016, cuda graph: False, input throughput (token/s): 1085.19
2026-09-18T11:08:58.608974936Z [2026-09-18 11:08:58 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.22, swa token usage: 0.10, #running-req: 3, #queue-req: 4, #pending-token: 2129920, cuda graph: False, input throughput (token/s): 1002.81
2026-09-18T11:09:02.321529502Z [2026-09-18 11:09:02 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.22, swa token usage: 0.10, #running-req: 3, #queue-req: 4, #pending-token: 2125824, cuda graph: False, input throughput (token/s): 1103.21
2026-09-18T11:09:06.081366860Z [2026-09-18 11:09:06 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.22, swa token usage: 0.10, #running-req: 3, #queue-req: 4, #pending-token: 2121728, cuda graph: False, input throughput (token/s): 1089.71
2026-09-18T11:09:09.842319800Z [2026-09-18 11:09:09 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.22, swa token usage: 0.10, #running-req: 3, #queue-req: 4, #pending-token: 2117632, cuda graph: False, input throughput (token/s): 1088.86
2026-09-18T11:09:13.573138433Z [2026-09-18 11:09:13 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.22, swa token usage: 0.10, #running-req: 3, #queue-req: 4, #pending-token: 2113536, cuda graph: False, input throughput (token/s): 1097.87
2026-09-18T11:09:17.832143960Z [2026-09-18 11:09:17 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.22, swa token usage: 0.10, #running-req: 3, #queue-req: 4, #pending-token: 2109440, cuda graph: False, input throughput (token/s): 961.82
2026-09-18T11:09:21.499726978Z [2026-09-18 11:09:21 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.22, swa token usage: 0.10, #running-req: 3, #queue-req: 4, #pending-token: 2105344, cuda graph: False, input throughput (token/s): 1116.72
2026-09-18T11:09:25.107636841Z [2026-09-18 11:09:25 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.22, swa token usage: 0.10, #running-req: 3, #queue-req: 4, #pending-token: 2101248, cuda graph: False, input throughput (token/s): 1135.44
2026-09-18T11:09:27.460507358Z [2026-09-18 11:09:27 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.22, swa token usage: 0.10, #running-req: 3, #queue-req: 3, #pending-token: 2097152, cuda graph: False, input throughput (token/s): 1740.53
2026-09-18T11:09:29.751774292Z [2026-09-18 11:09:29 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.22, swa token usage: 0.10, #running-req: 4, #queue-req: 3, #pending-token: 2093056, cuda graph: False, input throughput (token/s): 1788.06
2026-09-18T11:09:31.482306159Z [2026-09-18 11:09:31 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.22, swa token usage: 0.10, #running-req: 4, #queue-req: 3, #pending-token: 2088960, cuda graph: False, input throughput (token/s): 2365.93
2026-09-18T11:09:33.361492519Z [2026-09-18 11:09:33 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.22, swa token usage: 0.10, #running-req: 4, #queue-req: 3, #pending-token: 2084864, cuda graph: False, input throughput (token/s): 2180.44
2026-09-18T11:09:35.215804016Z [2026-09-18 11:09:35 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.22, swa token usage: 0.10, #running-req: 4, #queue-req: 3, #pending-token: 2080768, cuda graph: False, input throughput (token/s): 2208.15
2026-09-18T11:09:37.559691984Z [2026-09-18 11:09:37 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.22, swa token usage: 0.10, #running-req: 4, #queue-req: 3, #pending-token: 2076672, cuda graph: False, input throughput (token/s): 1748.04
2026-09-18T11:09:39.383874799Z [2026-09-18 11:09:39 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.22, swa token usage: 0.10, #running-req: 4, #queue-req: 3, #pending-token: 2072576, cuda graph: False, input throughput (token/s): 2244.92
2026-09-18T11:09:41.778386317Z [2026-09-18 11:09:41 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.22, swa token usage: 0.10, #running-req: 4, #queue-req: 3, #pending-token: 2068480, cuda graph: False, input throughput (token/s): 1710.74
2026-09-18T11:09:44.279760396Z [2026-09-18 11:09:44 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.22, swa token usage: 0.10, #running-req: 4, #queue-req: 3, #pending-token: 2064384, cuda graph: False, input throughput (token/s): 1637.28
2026-09-18T11:09:46.682407209Z [2026-09-18 11:09:46 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.22, swa token usage: 0.10, #running-req: 4, #queue-req: 3, #pending-token: 2060288, cuda graph: False, input throughput (token/s): 1705.17
2026-09-18T11:09:48.484663675Z [2026-09-18 11:09:48 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.22, swa token usage: 0.10, #running-req: 4, #queue-req: 3, #pending-token: 2056192, cuda graph: False, input throughput (token/s): 2271.43
2026-09-18T11:09:50.544492221Z [2026-09-18 11:09:50 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.22, swa token usage: 0.10, #running-req: 4, #queue-req: 3, #pending-token: 2052096, cuda graph: False, input throughput (token/s): 1988.66
2026-09-18T11:09:52.752870895Z [2026-09-18 11:09:52 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.22, swa token usage: 0.10, #running-req: 4, #queue-req: 3, #pending-token: 2048000, cuda graph: False, input throughput (token/s): 1855.07
2026-09-18T11:09:54.692420376Z [2026-09-18 11:09:54 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.22, swa token usage: 0.10, #running-req: 4, #queue-req: 3, #pending-token: 2043904, cuda graph: False, input throughput (token/s): 2112.47
2026-09-18T11:09:56.547013040Z [2026-09-18 11:09:56 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.22, swa token usage: 0.10, #running-req: 4, #queue-req: 3, #pending-token: 2039808, cuda graph: False, input throughput (token/s): 2207.42
2026-09-18T11:09:58.658400009Z [2026-09-18 11:09:58 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.23, swa token usage: 0.10, #running-req: 4, #queue-req: 3, #pending-token: 2035712, cuda graph: False, input throughput (token/s): 1940.21
2026-09-18T11:10:01.008215555Z [2026-09-18 11:10:01 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.23, swa token usage: 0.10, #running-req: 4, #queue-req: 3, #pending-token: 2031616, cuda graph: False, input throughput (token/s): 1743.77
2026-09-18T11:10:03.645374658Z [2026-09-18 11:10:03 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.23, swa token usage: 0.10, #running-req: 4, #queue-req: 3, #pending-token: 2027520, cuda graph: False, input throughput (token/s): 1552.55
2026-09-18T11:10:05.603793628Z [2026-09-18 11:10:05 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.23, swa token usage: 0.10, #running-req: 4, #queue-req: 3, #pending-token: 2023424, cuda graph: False, input throughput (token/s): 2091.56
2026-09-18T11:10:08.099993563Z [2026-09-18 11:10:08 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.23, swa token usage: 0.10, #running-req: 4, #queue-req: 3, #pending-token: 2019328, cuda graph: False, input throughput (token/s): 1641.31
2026-09-18T11:10:10.686578768Z [2026-09-18 11:10:10 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.23, swa token usage: 0.10, #running-req: 4, #queue-req: 3, #pending-token: 2015232, cuda graph: False, input throughput (token/s): 1583.31
2026-09-18T11:10:12.690711023Z [2026-09-18 11:10:12 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.23, swa token usage: 0.10, #running-req: 4, #queue-req: 3, #pending-token: 2011136, cuda graph: False, input throughput (token/s): 2043.59
2026-09-18T11:10:15.352791944Z [2026-09-18 11:10:15 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.23, swa token usage: 0.10, #running-req: 4, #queue-req: 3, #pending-token: 2007040, cuda graph: False, input throughput (token/s): 1538.76
2026-09-18T11:10:18.040118489Z [2026-09-18 11:10:18 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.23, swa token usage: 0.10, #running-req: 4, #queue-req: 3, #pending-token: 2002944, cuda graph: False, input throughput (token/s): 1524.08
2026-09-18T11:10:20.728701108Z [2026-09-18 11:10:20 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.23, swa token usage: 0.10, #running-req: 4, #queue-req: 3, #pending-token: 1998848, cuda graph: False, input throughput (token/s): 1523.35
2026-09-18T11:10:23.376374181Z [2026-09-18 11:10:23 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.23, swa token usage: 0.10, #running-req: 4, #queue-req: 3, #pending-token: 1994752, cuda graph: False, input throughput (token/s): 1546.99
2026-09-18T11:10:26.327101867Z [2026-09-18 11:10:26 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.23, swa token usage: 0.10, #running-req: 4, #queue-req: 3, #pending-token: 1990656, cuda graph: False, input throughput (token/s): 1388.16
2026-09-18T11:10:28.985144819Z [2026-09-18 11:10:28 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.23, swa token usage: 0.10, #running-req: 4, #queue-req: 3, #pending-token: 1986560, cuda graph: False, input throughput (token/s): 1541.23
2026-09-18T11:10:31.744459505Z [2026-09-18 11:10:31 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.23, swa token usage: 0.10, #running-req: 4, #queue-req: 3, #pending-token: 1982464, cuda graph: False, input throughput (token/s): 1484.45
2026-09-18T11:10:34.481860105Z [2026-09-18 11:10:34 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.23, swa token usage: 0.10, #running-req: 4, #queue-req: 3, #pending-token: 1978368, cuda graph: False, input throughput (token/s): 1496.10
2026-09-18T11:10:37.149051353Z [2026-09-18 11:10:37 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.23, swa token usage: 0.10, #running-req: 4, #queue-req: 3, #pending-token: 1974272, cuda graph: False, input throughput (token/s): 1535.74
2026-09-18T11:10:39.942351667Z [2026-09-18 11:10:39 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.23, swa token usage: 0.10, #running-req: 4, #queue-req: 3, #pending-token: 1970176, cuda graph: False, input throughput (token/s): 1466.59
2026-09-18T11:10:42.683122548Z [2026-09-18 11:10:42 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.23, swa token usage: 0.10, #running-req: 4, #queue-req: 3, #pending-token: 1966080, cuda graph: False, input throughput (token/s): 1494.29
2026-09-18T11:10:45.439733701Z [2026-09-18 11:10:45 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.23, swa token usage: 0.10, #running-req: 4, #queue-req: 3, #pending-token: 1961984, cuda graph: False, input throughput (token/s): 1485.77
2026-09-18T11:10:48.190976972Z [2026-09-18 11:10:48 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.23, swa token usage: 0.10, #running-req: 4, #queue-req: 3, #pending-token: 1957888, cuda graph: False, input throughput (token/s): 1489.35
2026-09-18T11:10:50.951989555Z [2026-09-18 11:10:50 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.23, swa token usage: 0.10, #running-req: 4, #queue-req: 3, #pending-token: 1953792, cuda graph: False, input throughput (token/s): 1483.51
2026-09-18T11:10:54.227745652Z [2026-09-18 11:10:54 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.23, swa token usage: 0.10, #running-req: 4, #queue-req: 3, #pending-token: 1949696, cuda graph: False, input throughput (token/s): 1250.08
2026-09-18T11:10:56.890941917Z [2026-09-18 11:10:56 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.23, swa token usage: 0.10, #running-req: 4, #queue-req: 3, #pending-token: 1945600, cuda graph: False, input throughput (token/s): 1538.54
2026-09-18T11:10:59.707589371Z [2026-09-18 11:10:59 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.24, swa token usage: 0.10, #running-req: 4, #queue-req: 3, #pending-token: 1941504, cuda graph: False, input throughput (token/s): 1454.16
2026-09-18T11:11:02.579028548Z [2026-09-18 11:11:02 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.24, swa token usage: 0.10, #running-req: 4, #queue-req: 3, #pending-token: 1937408, cuda graph: False, input throughput (token/s): 1426.44
2026-09-18T11:11:05.407165613Z [2026-09-18 11:11:05 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.24, swa token usage: 0.10, #running-req: 4, #queue-req: 3, #pending-token: 1933312, cuda graph: False, input throughput (token/s): 1448.36
2026-09-18T11:11:08.201453374Z [2026-09-18 11:11:08 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.24, swa token usage: 0.10, #running-req: 4, #queue-req: 3, #pending-token: 1929216, cuda graph: False, input throughput (token/s): 1465.67
2026-09-18T11:11:10.877114050Z [2026-09-18 11:11:10 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.24, swa token usage: 0.10, #running-req: 4, #queue-req: 3, #pending-token: 1925120, cuda graph: False, input throughput (token/s): 1531.00
2026-09-18T11:11:13.437929825Z [2026-09-18 11:11:13 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.24, swa token usage: 0.10, #running-req: 4, #queue-req: 3, #pending-token: 1921024, cuda graph: False, input throughput (token/s): 1599.15
2026-09-18T11:11:16.295642014Z [2026-09-18 11:11:16 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.24, swa token usage: 0.10, #running-req: 4, #queue-req: 3, #pending-token: 1916928, cuda graph: False, input throughput (token/s): 1432.98
2026-09-18T11:11:19.115421337Z [2026-09-18 11:11:19 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.24, swa token usage: 0.10, #running-req: 4, #queue-req: 3, #pending-token: 1912832, cuda graph: False, input throughput (token/s): 1452.94
2026-09-18T11:11:22.491108359Z [2026-09-18 11:11:22 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.24, swa token usage: 0.10, #running-req: 4, #queue-req: 3, #pending-token: 1908736, cuda graph: False, input throughput (token/s): 1213.43
2026-09-18T11:11:25.205580589Z [2026-09-18 11:11:25 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.24, swa token usage: 0.10, #running-req: 4, #queue-req: 3, #pending-token: 1904640, cuda graph: False, input throughput (token/s): 1508.84
2026-09-18T11:11:28.047870293Z [2026-09-18 11:11:28 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.24, swa token usage: 0.10, #running-req: 4, #queue-req: 3, #pending-token: 1900544, cuda graph: False, input throughput (token/s): 1441.07
2026-09-18T11:11:30.973785224Z [2026-09-18 11:11:30 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.24, swa token usage: 0.10, #running-req: 4, #queue-req: 3, #pending-token: 1896448, cuda graph: False, input throughput (token/s): 1399.90
2026-09-18T11:11:33.863348588Z [2026-09-18 11:11:33 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.24, swa token usage: 0.10, #running-req: 4, #queue-req: 3, #pending-token: 1892352, cuda graph: False, input throughput (token/s): 1417.60
2026-09-18T11:11:36.856107664Z [2026-09-18 11:11:36 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.24, swa token usage: 0.10, #running-req: 4, #queue-req: 3, #pending-token: 1888256, cuda graph: False, input throughput (token/s): 1368.93
2026-09-18T11:11:39.836920985Z [2026-09-18 11:11:39 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.24, swa token usage: 0.10, #running-req: 4, #queue-req: 3, #pending-token: 1884160, cuda graph: False, input throughput (token/s): 1373.85
2026-09-18T11:11:42.849297374Z [2026-09-18 11:11:42 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.24, swa token usage: 0.10, #running-req: 4, #queue-req: 3, #pending-token: 1880064, cuda graph: False, input throughput (token/s): 1359.65
2026-09-18T11:11:46.388583039Z [2026-09-18 11:11:46 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.24, swa token usage: 0.10, #running-req: 4, #queue-req: 3, #pending-token: 1875968, cuda graph: False, input throughput (token/s): 1157.19
2026-09-18T11:11:49.489793764Z [2026-09-18 11:11:49 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.24, swa token usage: 0.10, #running-req: 4, #queue-req: 3, #pending-token: 1871872, cuda graph: False, input throughput (token/s): 1320.89
2026-09-18T11:11:52.476000387Z [2026-09-18 11:11:52 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.24, swa token usage: 0.10, #running-req: 4, #queue-req: 3, #pending-token: 1867776, cuda graph: False, input throughput (token/s): 1371.38
2026-09-18T11:11:55.475203019Z [2026-09-18 11:11:55 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.24, swa token usage: 0.10, #running-req: 4, #queue-req: 3, #pending-token: 1863680, cuda graph: False, input throughput (token/s): 1365.73
2026-09-18T11:11:58.430231343Z [2026-09-18 11:11:58 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.24, swa token usage: 0.10, #running-req: 4, #queue-req: 3, #pending-token: 1859584, cuda graph: False, input throughput (token/s): 1386.14
2026-09-18T11:12:01.492208398Z [2026-09-18 11:12:01 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.24, swa token usage: 0.10, #running-req: 4, #queue-req: 3, #pending-token: 1855488, cuda graph: False, input throughput (token/s): 1338.19
2026-09-18T11:12:04.492907258Z [2026-09-18 11:12:04 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.24, swa token usage: 0.10, #running-req: 4, #queue-req: 3, #pending-token: 1851392, cuda graph: False, input throughput (token/s): 1365.09
2026-09-18T11:12:07.539048601Z [2026-09-18 11:12:07 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.24, swa token usage: 0.10, #running-req: 4, #queue-req: 3, #pending-token: 1847296, cuda graph: False, input throughput (token/s): 1344.28
2026-09-18T11:12:10.608875310Z [2026-09-18 11:12:10 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.25, swa token usage: 0.10, #running-req: 4, #queue-req: 3, #pending-token: 1843200, cuda graph: False, input throughput (token/s): 1334.47
2026-09-18T11:12:13.708355947Z [2026-09-18 11:12:13 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.25, swa token usage: 0.10, #running-req: 4, #queue-req: 3, #pending-token: 1839104, cuda graph: False, input throughput (token/s): 1321.59
2026-09-18T11:12:16.794230568Z [2026-09-18 11:12:16 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.25, swa token usage: 0.10, #running-req: 4, #queue-req: 3, #pending-token: 1835008, cuda graph: False, input throughput (token/s): 1327.07
2026-09-18T11:12:19.848069569Z [2026-09-18 11:12:19 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.25, swa token usage: 0.10, #running-req: 4, #queue-req: 3, #pending-token: 1830912, cuda graph: False, input throughput (token/s): 1341.35
2026-09-18T11:12:22.975069003Z [2026-09-18 11:12:22 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.25, swa token usage: 0.10, #running-req: 4, #queue-req: 3, #pending-token: 1826816, cuda graph: False, input throughput (token/s): 1309.73
2026-09-18T11:12:26.136100152Z [2026-09-18 11:12:26 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.25, swa token usage: 0.10, #running-req: 4, #queue-req: 3, #pending-token: 1822720, cuda graph: False, input throughput (token/s): 1295.89
2026-09-18T11:12:29.242884564Z [2026-09-18 11:12:29 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.25, swa token usage: 0.10, #running-req: 4, #queue-req: 3, #pending-token: 1818624, cuda graph: False, input throughput (token/s): 1318.24
2026-09-18T11:12:32.411979075Z [2026-09-18 11:12:32 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.25, swa token usage: 0.10, #running-req: 4, #queue-req: 3, #pending-token: 1814528, cuda graph: False, input throughput (token/s): 1292.53
2026-09-18T11:12:35.536199083Z [2026-09-18 11:12:35 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.25, swa token usage: 0.10, #running-req: 4, #queue-req: 3, #pending-token: 1810432, cuda graph: False, input throughput (token/s): 1311.01
2026-09-18T11:12:38.949921771Z [2026-09-18 11:12:38 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.25, swa token usage: 0.10, #running-req: 4, #queue-req: 3, #pending-token: 1806336, cuda graph: False, input throughput (token/s): 1200.07
2026-09-18T11:12:42.015355723Z [2026-09-18 11:12:42 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.25, swa token usage: 0.10, #running-req: 4, #queue-req: 3, #pending-token: 1802240, cuda graph: False, input throughput (token/s): 1336.19
2026-09-18T11:12:45.188378437Z [2026-09-18 11:12:45 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.25, swa token usage: 0.10, #running-req: 4, #queue-req: 3, #pending-token: 1798144, cuda graph: False, input throughput (token/s): 1290.60
2026-09-18T11:12:48.321851713Z [2026-09-18 11:12:48 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.25, swa token usage: 0.10, #running-req: 4, #queue-req: 3, #pending-token: 1794048, cuda graph: False, input throughput (token/s): 1307.17
2026-09-18T11:12:51.438050817Z [2026-09-18 11:12:51 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.25, swa token usage: 0.10, #running-req: 4, #queue-req: 3, #pending-token: 1789952, cuda graph: False, input throughput (token/s): 1314.44
2026-09-18T11:12:54.697865346Z [2026-09-18 11:12:54 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.25, swa token usage: 0.10, #running-req: 4, #queue-req: 3, #pending-token: 1785856, cuda graph: False, input throughput (token/s): 1256.67
